Filename,MSE,PSNR (dB),Compression Ratio
breast_image_36_gray.png,75.58,29.35,0.66
breast_image_370_gray.png,73.32,29.48,0.66
breast_image_371_color.png,230.89,24.50,1.37
breast_image_372_gray.png,74.78,29.39,0.66
breast_image_373_color.png,234.79,24.42,1.39
breast_image_374_gray.png,74.82,29.39,0.66
breast_image_375_color.png,229.98,24.51,1.37
breast_image_376_gray.png,73.44,29.47,0.66
breast_image_377_color.png,233.54,24.45,1.39
breast_image_378_gray.png,75.13,29.37,0.66
breast_image_379_color.png,233.98,24.44,1.39
breast_image_37_color.png,233.98,24.44,1.39
breast_image_380_gray.png,74.59,29.40,0.66
breast_image_381_color.png,235.19,24.42,1.39
breast_image_382_gray.png,75.13,29.37,0.66
breast_image_383_color.png,232.55,24.47,1.39
breast_image_384_gray.png,74.28,29.42,0.66
breast_image_385_color.png,233.53,24.45,1.39
breast_image_386_gray.png,75.11,29.37,0.66
breast_image_387_color.png,233.93,24.44,1.39
breast_image_388_gray.png,73.85,29.45,0.66
breast_image_389_color.png,229.61,24.52,1.37
breast_image_38_gray.png,75.44,29.35,0.66
breast_image_390_gray.png,75.01,29.38,0.66
breast_image_391_color.png,235.20,24.42,1.39
breast_image_392_gray.png,74.55,29.41,0.66
breast_image_393_color.png,235.46,24.41,1.39
breast_image_394_gray.png,73.89,29.45,0.66
breast_image_395_color.png,229.71,24.52,1.37
breast_image_396_gray.png,74.93,29.38,0.66
breast_image_397_color.png,233.33,24.45,1.39
breast_image_398_gray.png,74.83,29.39,0.66
breast_image_399_color.png,233.01,24.46,1.39
breast_image_39_color.png,232.95,24.46,1.38
breast_image_3_color.png,233.93,24.44,1.39
breast_image_400_gray.png,73.08,29.49,0.65
breast_image_401_color.png,234.58,24.43,1.39
breast_image_402_gray.png,74.80,29.39,0.66
breast_image_403_color.png,228.16,24.55,1.37
breast_image_404_gray.png,73.24,29.48,0.66
breast_image_405_color.png,234.04,24.44,1.39
breast_image_406_gray.png,73.96,29.44,0.66
breast_image_407_color.png,233.67,24.44,1.40
breast_image_408_gray.png,73.04,29.50,0.66
breast_image_409_color.png,233.90,24.44,1.39
breast_image_40_gray.png,74.81,29.39,0.66
breast_image_410_gray.png,74.75,29.39,0.66
breast_image_411_color.png,229.39,24.52,1.37
breast_image_412_gray.png,74.44,29.41,0.66
breast_image_413_color.png,235.15,24.42,1.39
breast_image_414_gray.png,75.19,29.37,0.66
breast_image_415_color.png,229.49,24.52,1.37
breast_image_416_gray.png,75.47,29.35,0.66
breast_image_417_color.png,234.70,24.43,1.39
breast_image_418_gray.png,74.91,29.39,0.66
breast_image_419_color.png,235.20,24.42,1.38
breast_image_41_color.png,234.39,24.43,1.39
breast_image_420_gray.png,74.84,29.39,0.66
breast_image_421_color.png,234.38,24.43,1.39
breast_image_422_gray.png,72.81,29.51,0.65
breast_image_423_color.png,232.90,24.46,1.39
breast_image_424_gray.png,74.66,29.40,0.66
breast_image_425_color.png,234.19,24.44,1.39
breast_image_426_gray.png,75.40,29.36,0.66
breast_image_427_color.png,234.08,24.44,1.39
breast_image_428_gray.png,74.37,29.42,0.66
breast_image_429_color.png,230.94,24.50,1.37
breast_image_42_gray.png,74.64,29.40,0.66
breast_image_430_gray.png,74.93,29.38,0.66
breast_image_431_color.png,233.88,24.44,1.39
breast_image_432_gray.png,73.56,29.46,0.66
breast_image_433_color.png,233.52,24.45,1.39
breast_image_434_gray.png,74.59,29.40,0.66
breast_image_435_color.png,234.82,24.42,1.39
breast_image_436_gray.png,75.61,29.35,0.66
breast_image_437_color.png,234.15,24.44,1.39
breast_image_438_gray.png,74.93,29.38,0.66
breast_image_439_color.png,235.89,24.40,1.39
breast_image_43_color.png,234.46,24.43,1.38
breast_image_440_gray.png,75.48,29.35,0.66
breast_image_441_color.png,234.56,24.43,1.39
breast_image_442_gray.png,75.28,29.36,0.66
breast_image_443_color.png,233.80,24.44,1.39
breast_image_444_gray.png,74.34,29.42,0.66
breast_image_445_color.png,235.05,24.42,1.39
breast_image_446_gray.png,75.17,29.37,0.66
breast_image_447_color.png,234.07,24.44,1.39
breast_image_448_gray.png,74.62,29.40,0.66
breast_image_449_color.png,228.70,24.54,1.37
breast_image_44_gray.png,75.03,29.38,0.66
breast_image_450_gray.png,74.88,29.39,0.66
breast_image_451_color.png,234.25,24.43,1.39
breast_image_452_gray.png,74.91,29.39,0.66
breast_image_453_color.png,234.30,24.43,1.39
breast_image_454_gray.png,73.36,29.48,0.65
breast_image_455_color.png,233.75,24.44,1.39
breast_image_456_gray.png,73.32,29.48,0.66
breast_image_457_color.png,234.48,24.43,1.39
breast_image_458_gray.png,74.57,29.40,0.66
breast_image_459_color.png,230.28,24.51,1.37
breast_image_45_color.png,235.34,24.41,1.39
breast_image_460_gray.png,74.43,29.41,0.66
breast_image_461_color.png,234.29,24.43,1.39
breast_image_462_gray.png,75.06,29.38,0.66
breast_image_463_color.png,236.24,24.40,1.39
breast_image_464_gray.png,74.05,29.44,0.66
breast_image_465_color.png,236.31,24.40,1.39
breast_image_466_gray.png,75.54,29.35,0.66
breast_image_467_color.png,234.28,24.43,1.39
breast_image_468_gray.png,73.16,29.49,0.66
breast_image_469_color.png,234.50,24.43,1.39
breast_image_46_gray.png,72.64,29.52,0.66
breast_image_470_gray.png,75.17,29.37,0.66
breast_image_471_color.png,229.06,24.53,1.37
breast_image_472_gray.png,74.30,29.42,0.66
breast_image_473_color.png,230.13,24.51,1.37
breast_image_474_gray.png,74.86,29.39,0.66
breast_image_475_color.png,228.94,24.53,1.37
breast_image_476_gray.png,72.54,29.52,0.65
breast_image_477_color.png,233.71,24.44,1.39
breast_image_478_gray.png,74.81,29.39,0.66
breast_image_479_color.png,229.16,24.53,1.37
breast_image_47_color.png,233.40,24.45,1.39
breast_image_480_gray.png,73.09,29.49,0.65
breast_image_481_color.png,233.59,24.45,1.38
breast_image_482_gray.png,73.73,29.45,0.66
breast_image_483_color.png,233.94,24.44,1.38
breast_image_484_gray.png,72.99,29.50,0.66
breast_image_485_color.png,229.16,24.53,1.37
breast_image_486_gray.png,73.82,29.45,0.66
breast_image_487_color.png,233.96,24.44,1.39
breast_image_488_gray.png,75.08,29.38,0.66
breast_image_489_color.png,232.47,24.47,1.39
breast_image_48_gray.png,75.12,29.37,0.66
breast_image_490_gray.png,73.20,29.49,0.65
breast_image_491_color.png,233.42,24.45,1.38
breast_image_492_gray.png,73.77,29.45,0.66
breast_image_493_color.png,234.57,24.43,1.39
breast_image_494_gray.png,73.42,29.47,0.65
breast_image_495_color.png,230.90,24.50,1.37
breast_image_496_gray.png,73.98,29.44,0.66
breast_image_497_color.png,234.83,24.42,1.39
breast_image_498_gray.png,74.78,29.39,0.66
breast_image_499_color.png,228.18,24.55,1.37
breast_image_49_color.png,233.20,24.45,1.39
breast_image_4_gray.png,74.74,29.40,0.66
breast_image_500_gray.png,73.21,29.48,0.66
breast_image_501_color.png,234.17,24.44,1.39
breast_image_502_gray.png,75.26,29.37,0.66
breast_image_503_color.png,233.47,24.45,1.38
breast_image_504_gray.png,75.10,29.37,0.66
breast_image_505_color.png,230.03,24.51,1.37
breast_image_506_gray.png,74.91,29.39,0.66
breast_image_507_color.png,233.66,24.44,1.38
breast_image_508_gray.png,74.38,29.42,0.66
breast_image_509_color.png,233.32,24.45,1.39
breast_image_50_gray.png,75.64,29.34,0.66
breast_image_510_gray.png,75.18,29.37,0.66
breast_image_511_color.png,235.36,24.41,1.39
breast_image_512_gray.png,73.51,29.47,0.66
breast_image_513_color.png,233.36,24.45,1.38
breast_image_514_gray.png,74.93,29.38,0.66
breast_image_515_color.png,228.59,24.54,1.37
breast_image_516_gray.png,73.51,29.47,0.66
breast_image_517_color.png,235.15,24.42,1.39
breast_image_518_gray.png,72.56,29.52,0.66
breast_image_519_color.png,233.45,24.45,1.39
breast_image_51_color.png,235.57,24.41,1.39
breast_image_520_gray.png,74.88,29.39,0.66
breast_image_521_color.png,229.33,24.53,1.37
breast_image_522_gray.png,74.92,29.38,0.66
breast_image_523_color.png,235.29,24.41,1.39
breast_image_524_gray.png,74.43,29.41,0.66
breast_image_525_color.png,229.30,24.53,1.37
breast_image_526_gray.png,73.91,29.44,0.66
breast_image_527_color.png,234.27,24.43,1.38
breast_image_528_gray.png,74.50,29.41,0.66
breast_image_529_color.png,229.84,24.52,1.37
breast_image_52_gray.png,73.16,29.49,0.66
breast_image_530_gray.png,73.88,29.45,0.66
breast_image_531_color.png,233.27,24.45,1.39
breast_image_532_gray.png,74.99,29.38,0.66
breast_image_533_color.png,233.35,24.45,1.39
breast_image_534_gray.png,75.67,29.34,0.66
breast_image_535_color.png,230.87,24.50,1.37
breast_image_536_gray.png,73.15,29.49,0.65
breast_image_537_color.png,234.52,24.43,1.39
breast_image_538_gray.png,73.30,29.48,0.66
breast_image_539_color.png,229.41,24.52,1.38
breast_image_53_color.png,228.43,24.54,1.37
breast_image_540_gray.png,73.79,29.45,0.66
breast_image_541_color.png,234.50,24.43,1.39
breast_image_542_gray.png,74.53,29.41,0.66
breast_image_543_color.png,228.70,24.54,1.37
breast_image_544_gray.png,75.44,29.36,0.66
breast_image_545_color.png,229.35,24.53,1.37
breast_image_546_gray.png,73.14,29.49,0.65
breast_image_547_color.png,233.62,24.45,1.39
breast_image_548_gray.png,73.69,29.46,0.66
breast_image_549_color.png,233.36,24.45,1.38
breast_image_54_gray.png,74.84,29.39,0.66
breast_image_550_gray.png,75.00,29.38,0.66
breast_image_551_color.png,233.87,24.44,1.39
breast_image_552_gray.png,74.32,29.42,0.66
breast_image_553_color.png,235.76,24.41,1.39
breast_image_554_gray.png,74.73,29.40,0.66
breast_image_555_color.png,228.24,24.55,1.38
breast_image_556_gray.png,74.42,29.41,0.66
breast_image_557_color.png,232.65,24.46,1.38
breast_image_558_gray.png,74.49,29.41,0.66
breast_image_559_color.png,234.31,24.43,1.39
breast_image_55_color.png,234.52,24.43,1.39
breast_image_560_gray.png,73.14,29.49,0.65
breast_image_561_color.png,229.07,24.53,1.37
breast_image_562_gray.png,74.74,29.40,0.66
breast_image_563_color.png,233.09,24.46,1.39
breast_image_564_gray.png,73.50,29.47,0.65
breast_image_565_color.png,227.81,24.56,1.37
breast_image_566_gray.png,74.31,29.42,0.66
breast_image_567_color.png,234.80,24.42,1.39
breast_image_568_gray.png,75.65,29.34,0.66
breast_image_569_color.png,236.18,24.40,1.39
breast_image_56_gray.png,73.01,29.50,0.66
breast_image_570_gray.png,74.74,29.40,0.66
breast_image_571_color.png,234.45,24.43,1.39
breast_image_572_gray.png,75.35,29.36,0.66
breast_image_573_color.png,230.42,24.51,1.38
breast_image_574_gray.png,75.07,29.38,0.66
breast_image_575_color.png,235.21,24.42,1.39
breast_image_576_gray.png,74.72,29.40,0.66
breast_image_577_color.png,229.25,24.53,1.37
breast_image_578_gray.png,75.48,29.35,0.66
breast_image_579_color.png,235.45,24.41,1.39
breast_image_57_color.png,227.75,24.56,1.37
breast_image_580_gray.png,75.49,29.35,0.66
breast_image_581_color.png,234.64,24.43,1.39
breast_image_582_gray.png,75.23,29.37,0.66
breast_image_583_color.png,234.07,24.44,1.39
breast_image_584_gray.png,74.61,29.40,0.66
breast_image_585_color.png,231.26,24.49,1.37
breast_image_586_gray.png,74.88,29.39,0.66
breast_image_587_color.png,234.76,24.42,1.39
breast_image_588_gray.png,74.59,29.40,0.66
breast_image_589_color.png,233.54,24.45,1.39
breast_image_58_gray.png,72.79,29.51,0.66
breast_image_590_gray.png,75.12,29.37,0.66
breast_image_591_color.png,232.36,24.47,1.38
breast_image_592_gray.png,75.07,29.38,0.66
breast_image_593_color.png,228.92,24.53,1.37
breast_image_594_gray.png,73.83,29.45,0.65
breast_image_595_color.png,228.45,24.54,1.37
breast_image_596_gray.png,73.08,29.49,0.66
breast_image_597_color.png,234.51,24.43,1.39
breast_image_598_gray.png,75.16,29.37,0.66
breast_image_599_color.png,234.81,24.42,1.39
breast_image_59_color.png,233.48,24.45,1.39
breast_image_5_color.png,235.83,24.40,1.39
breast_image_60_gray.png,72.37,29.54,0.66
breast_image_61_color.png,233.02,24.46,1.39
breast_image_62_gray.png,75.52,29.35,0.66
breast_image_63_color.png,233.83,24.44,1.39
breast_image_64_gray.png,72.59,29.52,0.66
breast_image_65_color.png,230.42,24.51,1.37
breast_image_66_gray.png,74.21,29.43,0.66
breast_image_67_color.png,234.46,24.43,1.39
breast_image_68_gray.png,74.35,29.42,0.66
breast_image_69_color.png,229.90,24.52,1.37
breast_image_6_gray.png,74.07,29.43,0.65
breast_image_70_gray.png,72.77,29.51,0.66
breast_image_71_color.png,233.86,24.44,1.38
breast_image_72_gray.png,74.47,29.41,0.66
breast_image_73_color.png,233.51,24.45,1.38
breast_image_74_gray.png,73.70,29.46,0.66
breast_image_75_color.png,229.48,24.52,1.37
breast_image_76_gray.png,73.22,29.48,0.66
breast_image_77_color.png,233.82,24.44,1.38
breast_image_78_gray.png,74.93,29.38,0.66
breast_image_79_color.png,233.51,24.45,1.39
breast_image_7_color.png,234.65,24.43,1.39
breast_image_80_gray.png,72.41,29.53,0.66
breast_image_81_color.png,229.81,24.52,1.37
breast_image_82_gray.png,74.91,29.39,0.66
breast_image_83_color.png,228.60,24.54,1.37
breast_image_84_gray.png,74.72,29.40,0.66
breast_image_85_color.png,233.11,24.46,1.39
breast_image_86_gray.png,74.53,29.41,0.66
breast_image_87_color.png,234.33,24.43,1.39
breast_image_88_gray.png,73.89,29.45,0.66
breast_image_89_color.png,233.59,24.45,1.39
breast_image_8_gray.png,74.42,29.41,0.66
breast_image_90_gray.png,74.86,29.39,0.66
breast_image_91_color.png,234.39,24.43,1.39
breast_image_92_gray.png,73.35,29.48,0.66
breast_image_93_color.png,234.12,24.44,1.39
breast_image_94_gray.png,73.35,29.48,0.66
breast_image_95_color.png,234.77,24.42,1.39
breast_image_96_gray.png,73.42,29.47,0.65
breast_image_97_color.png,235.59,24.41,1.38
breast_image_98_gray.png,74.86,29.39,0.66
breast_image_99_color.png,232.65,24.46,1.39
breast_image_9_color.png,230.12,24.51,1.37
AVERAGE,153.65,26.94,1.02
